Idx | Image                | Pred       | Actual     |  Time(ms) | OK
077 | horse_7.png          | horse      | horse      |    48.289 | ✅
078 | horse_8.png          | horse      | horse      |    50.527 | ✅
079 | horse_9.png          | horse      | horse      |    52.388 | ✅
080 | ship_0.png           | ship       | ship       |    50.154 | ✅
081 | ship_1.png           | ship       | ship       |    49.034 | ✅
082 | ship_2.png           | ship       | ship       |    49.527 | ✅
083 | ship_3.png           | ship       | ship       |    50.225 | ✅
084 | ship_4.png           | ship       | ship       |    49.372 | ✅
085 | ship_5.png           | ship       | ship       |    49.256 | ✅
086 | ship_6.png           | ship       | ship       |    50.929 | ✅
087 | ship_7.png           | ship       | ship       |    50.754 | ✅
088 | ship_8.png           | ship       | ship       |    50.983 | ✅
089 | ship_9.png           | ship       | ship       |    50.316 | ✅
090 | truck_0.png          | truck      | truck      |    49.871 | ✅
091 | truck_1.png          | truck      | truck      |    53.282 | ✅
092 | truck_2.png          | truck      | truck      |    49.762 | ✅
093 | truck_3.png          | automobile | truck      |    48.835 | ❌
094 | truck_4.png          | truck      | truck      |    49.761 | ✅
095 | truck_5.png          | truck      | truck      |    51.065 | ✅
096 | truck_6.png          | truck      | truck      |    49.700 | ✅
097 | truck_7.png          | automobile | truck      |    48.735 | ❌
098 | truck_8.png          | truck      | truck      |    50.421 | ✅
099 | truck_9.png          | truck      | truck      |    53.932 | ✅

========== SUMMARY ==========
Total Images : 100
Correct      : 84
Accuracy     : 84.00 %

Inference Time (ms):
Min   : 48.264
Max   : 674.807
Avg   : 56.638
Std   : 62.141
